planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,predicted_fauna,predicted_flora,fauna_result,flora_result,planet_resources_inorganics,planet_resources_organics,planet_animal_farm_resources,planet_plant_farm_resources,planet_inorganic_resources_count,planet_organic_resources_count,planet_animal_farm_resources_count,planet_plant_farm_resources_count,o2,temperature degree reading,condition,ok for 0 hab skill,temperature_atmosphere,type_body_magnetosphere,predict_irradiation
Piazzi VII-a,,PiazziVIIa,Ice,Moon,Ice Moon,Piazzi,10,0.07,Deep freeze,None,None,Chemical,"Cl,H2O",2,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0,0,"Cl,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Piazzi VII-b,,PiazziVIIb,Ice,Moon,Ice Moon,Piazzi,10,0.08,Deep freeze,None,None,Safe,"Au,Cu,H2O",3,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,0,0,"Au,Cu,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Piazzi VII-c,,PiazziVIIc,Ice,Moon,Ice Moon,Piazzi,10,0.37,Deep freeze,None,None,Safe,"Co,H2O,Ni",3,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,0,0,"Co,H2O,Ni",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Porrima I,,PorrimaI,Barren,Planet,Barren Planet,Porrima,30,0.38,Scorched,None,Very weak,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Fe,3,0.3875,1,2,1,-3,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Scorched None,Barren Planet Very weak,1
Porrima I-a,,PorrimaIa,Barren,Moon,Barren Moon,Porrima,30,0.21,Scorched,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.3875,1,1,1,-3,-3,0*,0*,"Fe,He-3,HnCn",,,,3,0,0,0,,,,,Scorched None,Barren Moon None,1
Porrima I-b,,PorrimaIb,Barren,Moon,Barren Moon,Porrima,30,0.09,Scorched,None,None,None,"Al,Be,Eu,He-3",4,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.3875,1,1,1,-3,-3,0*,0*,"Al,Be,Eu,He-3",,,,4,0,0,0,,,,,Scorched None,Barren Moon None,1
Porrima II,,PorrimaII,Rock,Planet,Rock Planet,Porrima,30,1.24,Temperate,Extr O2,Powerful,Safe,"Am,Cl,Cs,Fi,H2O,Li,Nu,Se,SM,Sp",10,Moderate (6),Moderate (5),"Desert-Sandy,Ocean","Desert,Ocean",Ecological Consortium,75.0%,Yes,0,2,0,0,Se,4,0.0089,6,7,6,10,6,6,5,"Cl,Cs,H2O,Li","Am,Fi,Nu,Se,Sp,SM","Am,Sp","Fi,Nu,Se,SM",4,6,2,4,,,,,Temperate Extr O2,Rock Planet Powerful,0
Porrima II-a,,PorrimaIIa,Barren,Moon,Barren Moon,Porrima,30,0.05,Temperate,None,None,None,,0,None,None,Cratered,Craters,None,75.0%,No,0,0,0,0,,3,0.0089,1,1,1,-3,-3,0,0,,,,,0,0,0,0,,,,,Temperate None,Barren Moon None,0
Porrima II-b,,PorrimaIIb,Barren,Moon,Barren Moon,Porrima,30,0.41,Temperate,Thin M,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,66.7%,No,0,0,0,0,Al,3,0.0089,5,1,1,-1,-1,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Temperate Thin M,Barren Moon None,0
Porrima II-c,,PorrimaIIc,Rock,Moon,Rock Moon,Porrima,30,0.34,Temperate,Thin CO2,None,None,"Cl,H2O,Pb",3,Unknown,Unknown,"Desert-Rocky,Desert-Sandy",Desert,Unknown,66.7%,No,0,0,0,0,,4,0.0089,4,1,1,-3,-3,0*,0*,"Cl,H2O,Pb",,,,3,0,0,0,,,,,Temperate Thin CO2,Rock Moon None,0
Porrima III,,PorrimaIII,Rock,Planet,Rock Planet,Porrima,30,2.01,Cold,Thin M,Average,Safe,"Ae,Al,Cc,Cl,Fi,H2O,He-3,Li,MA,Nu,Se,SM,Tx",13,Marginal (4),Marginal (4),"Cratered,Forest,Ocean,Polar-Ice","Craters,Forest,Ocean,Ice",CHECK,75.0%,Yes,0,0,0,4,"Ae,Al,Se",4,0.0000,5,4,6,7,3,4,4,"Al,Cl,H2O,He-3,Li","Ae,Cc,Fi,MA,Nu,Se,SM,Tx","Cc,Fi,MA,Nu,Se,SM,Tx",Ae,5,8,7,1,,,,,Cold Thin M,Rock Planet Average,0
Porrima III-a,,PorrimaIIIa,Barren,Moon,Barren Moon,Porrima,30,0.10,Cold,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,Eu,He-3",,,,3,0,0,0,,,,,Cold None,Barren Moon None,0
Porrima III-b,,PorrimaIIIb,Barren,Moon,Barren Moon,Porrima,30,0.15,Cold,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,Be,He-3,Nd",,,,4,0,0,0,,,,,Cold None,Barren Moon None,0
Porrima IV,,PorrimaIV,Gas giant,Planet,Gas giant Planet,Porrima,30,2.17,Frozen,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,4,,2,0.2787,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Frozen H2,Gas giant Planet Strong,0
Porrima IV-a,,PorrimaIVa,Ice,Moon,Ice Moon,Porrima,30,0.18,Frozen,None,None,Safe,"Ar,C6Hn,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Ar,C6Hn,H2O",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Porrima IV-b,,PorrimaIVb,Ice,Moon,Ice Moon,Porrima,30,0.08,Frozen,None,None,Safe,"Ar,C6Hn,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Ar,C6Hn,H2O",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Porrima IV-c,,PorrimaIVc,Rock,Moon,Rock Moon,Porrima,30,0.52,Cold,Thin O2,Weak,Radioactive,"An,Ar,Cc,Cl,Fe,Fi,H2O,HnCn,Ne,Nu,R-COC,Se,SiH3Cl",13,Marginal (4),Marginal (3),"Forest,Mountains,Ocean,Wetlands","Forest,Mountains,Ocean,Wetlands",CHECK,75.0%,Yes,0,0,0,0,"Fe,Se",4,0.0000,6,3,4,3,1,4,3,"Ar,Cl,Fe,H2O,HnCn,Ne,R-COC,SiH3Cl","An,Cc,Fi,Nu,Se","Cc,Fi,Nu","An,Se",8,5,3,2,,,,,Cold Thin O2,Rock Moon Weak,0
Porrima IV-d,,PorrimaIVd,Rock,Moon,Rock Moon,Porrima,30,0.55,Temperate,Std O2,None,Biological,"Ar,H2O,Ne,Ni,Pb,Pu,R-COC,U",8,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Forest,Mountains,Ocean,Ice,Savanna",Unknown,91.7%,Yes,0,0,0,0,,4,0.0089,6,1,5,4,1,4*,1*,"Ar,H2O,Ne,Ni,Pb,Pu,R-COC,U",,,,8,0,0,0,,,,,Temperate Std O2,Rock Moon None,0
Porrima V,,PorrimaV,Gas giant,Planet,Gas giant Planet,Porrima,30,3.11,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Extreme,0
Porrima V-a,,PorrimaVa,Rock,Moon,Rock Moon,Porrima,30,0.40,Deep freeze,Std N2,None,Safe,"Ar,C6Hn,Cl,Cs,Cu,F,H2O,Li",8,None,None,"Desert-Rocky,Hills,Ocean,Polar-Ice,SavannahBarren","Desert,Hills,Ocean,Ice,Savanna",Unknown,66.7%,Yes,1,0,0,0,,4,0.5022,2,1,6,1,0,0,0,"Ar,C6Hn,Cl,Cs,Cu,F,H2O,Li",,,,8,0,0,0,,,,,Deep freeze Std N2,Rock Moon None,0
Porrima V-b,,PorrimaVb,Ice,Moon,Ice Moon,Porrima,30,0.07,Deep freeze,None,None,Safe,"Au,Cu,F,H2O",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Au,Cu,F,H2O",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Porrima V-c,,PorrimaVc,Ice,Moon,Ice Moon,Porrima,30,0.15,Deep freeze,None,None,Chemical,"Au,Cu,H2O,Sb",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Au,Cu,H2O,Sb",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Porrima VI,,PorrimaVI,Ice,Planet,Ice Planet,Porrima,30,0.09,Deep freeze,None,None,Heavy metal,"Cl,H2O,Li",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,2,-2,-2,0*,0*,"Cl,H2O,Li",,,,3,0,0,0,,,,,Deep freeze None,Ice Planet None,0
Porrima VI-a,,PorrimaVIa,Ice,Planet,Ice Planet,Porrima,30,0.08,Deep freeze,None,None,Safe,"Cl,H2O,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Cl,H2O,SiH3Cl",,,,3,0,0,0,,,,,Deep freeze None,Ice Planet None,0
Procyon I,,ProcyonI,Rock,Planet,Rock Planet,Procyon A,10,1.24,Inferno,Std CO2,Average,None,"Cl,Cu,F,Ir,Pb,SiH3Cl,U,W",8,None,None,"Desert-Rocky,Desert-Sandy,SavannahBarren,Volcanic","Desert,Plateau,Savanna",Active Faulting,58.3%,No,1,0,0,0,,4,1.0000,4,4,1,-3,-3,0,0,"Cl,Cu,F,Ir,Pb,SiH3Cl,U,W",,,,8,0,0,0,0%,630,"Ambient Heat, Corrosive",No,Inferno Std CO2,Rock Planet Average,0
Procyon I-a,,ProcyonIa,Barren,Moon,Barren Moon,Procyon A,10,0.07,Inferno,None,None,None,,0,None,None,Cratered,Craters,None,58.3%,No,1,0,0,0,,3,1.0000,1,1,1,-3,-3,0,0,,,,,0,0,0,0,,,,,Inferno None,Barren Moon None,1
Procyon II,,ProcyonII,Rock,Planet,Rock Planet,Procyon A,10,0.96,Inferno,Extr CO2,Average,None,"Ni,Pb,Ti",3,None,None,"Desert-Rocky,Hills","Desert,Hills","Primed For Life, Prismatic Plumes, Active Faulting",58.3%,No,1,2,0,0,,4,1.0000,4,4,1,-3,-3,0,0,"Ni,Pb,Ti",,,,3,0,0,0,0%,333,Ambient Heat,No,Inferno Extr CO2,Rock Planet Average,0
Procyon III,,ProcyonIII,Rock,Planet,Rock Planet,Procyon A,10,1.07,Cold,High O2,Average,Chemical,"Ah,An,Ar,Cu,F,Fi,H2O,IL,MA,Ne,Nu,OM,Sd,Se,SM,Sp,St,Tx,xF4",19,Moderate (10),Moderate (5),Unknown,"Ocean,Ice,Wetlands","Coralline Landmass,Psychotropic Biota",58.3%,Yes,0,0,0,0,Se,4,0.0000,6,4,3,2,0,10,5,"Ar,Cu,F,H2O,IL,Ne,xF4","Ah,An,Fi,MA,Nu,OM,Se,Sd,Sp,St,SM,Tx","An,Fi,MA,Nu,OM,Se,Sd,SM","Ah,Sp,St,Tx",7,12,8,4,21%,-10,None,Yes,Cold High O2,Rock Planet Average,0
Procyon III-a,,ProcyonIIIa,Barren,Moon,Barren Moon,Procyon A,10,0.10,Cold,None,None,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Procyon IV,,ProcyonIV,Rock,Planet,Rock Planet,Procyon A,10,1.16,Cold,High N2,Average,Safe,"Co,H2O,Ni,U",4,None,None,"Desert-Sandy,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savanna",CHECK,66.7%,Yes,0,0,0,0,,4,0.0000,2,4,6,5,2,0,0,"Co,H2O,Ni,U",,,,4,0,0,0,0%,-40,Snow,Yes,Cold High N2,Rock Planet Average,0
Procyon IV-a,,ProcyonIVa,Barren,Moon,Barren Moon,Procyon A,10,0.25,Cold,None,None,None,"Al,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0,0,"Al,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Procyon V,,ProcyonV,Gas giant,Planet,Gas giant Planet,Procyon A,10,1.48,Frozen,H2,Strong,None,,0,None,None,Ocean,Ocean,None,58.3%,No,0,0,0,0,,2,0.2787,3,5,1,-1,-1,0,0,,,,,0,0,0,0,,,,,Frozen H2,Gas giant Planet Strong,0
Procyon V-a,,ProcyonVa,Ice,Moon,Ice Moon,Procyon A,10,0.14,Frozen,None,None,Chemical,"Co,H2O,Ni",3,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,0,0,0,0,,3,0.2787,1,1,3,-1,-2,0,0,"Co,H2O,Ni",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Procyon V-b,,ProcyonVb,Ice,Moon,Ice Moon,Procyon A,10,0.31,Frozen,None,None,Chemical,"H2O,Ni",2,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,0,0,0,0,,3,0.2787,1,1,3,-1,-2,0,0,"H2O,Ni",,,,2,0,0,0,,,,,Frozen None,Ice Moon None,0
Procyon V-c,,ProcyonVc,Ice,Moon,Ice Moon,Procyon A,10,0.27,Frozen,None,None,Heavy metal,"Ar,H2O",2,None,None,Polar-Ice,Ice,None,66.7%,Yes,0,0,0,0,,3,0.2787,1,1,2,-2,-2,0,0,"Ar,H2O",,,,2,0,0,0,,,,,Frozen None,Ice Moon None,0
Procyon VI,,ProcyonVI,Gas giant,Planet,Gas giant Planet,Procyon A,10,5.49,Deep freeze,H2,Massive,None,,0,None,None,Ocean,Ocean,None,58.3%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0,0,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Massive,0
Procyon VI-a,,ProcyonVIa,Ice,Moon,Ice Moon,Procyon A,10,0.06,Deep freeze,None,None,Chemical,"Cu,H2O",2,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0,0,"Cu,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Procyon VI-b,,ProcyonVIb,Rock,Moon,Rock Moon,Procyon A,10,0.53,Frozen,Std O2,Average,Biological,"Ar,C6Hn,Fe,H2O,Pb,R-COC",6,None,None,"Desert-Rocky,Hills,Mountains,Ocean,Polar-Ice","Desert,Hills,Mountains,,Ice",CHECK,66.7%,Yes,0,0,0,0,Fe,4,0.2787,6,4,5,5,2,0,0,"Ar,C6Hn,Fe,H2O,Pb,R-COC",,,,6,0,0,0,18%,-100,Ambient Cold,Yes,Frozen Std O2,Rock Moon Average,0
Procyon VI-c,,ProcyonVIc,Rock,Moon,Rock Moon,Procyon A,10,0.34,Frozen,Thin CO2,None,Safe,"Cu,Fe,H2O,HnCn,Ni,U",6,None,None,"Hills,Mountains,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Mountains",Gravitational Anomaly Primed For Life Frozen Ecosystem,66.7%,Yes,0,0,0,0,Fe,4,0.2787,4,1,6,3,1,0,0,"Cu,Fe,H2O,HnCn,Ni,U",,,,6,0,0,0,0%,-122,"Ambient Cold, Solar Radiation",Yes,Frozen Thin CO2,Rock Moon None,0
Procyon-B I,,ProcyonBI,Barren,Planet,Barren Planet,Procyon B,5,0.21,Scorched,None,None,None,"Al,He-3,Nd",3,None,None,Unknown,Unknown,"Energetic Rifting, Continual Conductor, Boiled Seas, Prismatic Plumes, Gravitational Anomaly",58.3%,No,0,0,0,0,Al,3,0.3875,1,1,1,-3,-3,0,0,"Al,He-3,Nd",,,,3,0,0,0,,,,,Scorched None,Barren Planet None,1
Proxima Ternion I,,ProximaTernionI,Hot gas giant,Planet,Hot gas giant Planet,Proxima Ternion,65,4.54,Inferno,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,1.0000,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Inferno H2,Hot gas giant Planet Strong,0
Proxima Ternion I-a,,ProximaTernionIa,Barren,Moon,Barren Moon,Proxima Ternion,65,0.03,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Proxima Ternion I-b,,ProximaTernionIb,Rock,Moon,Rock Moon,Proxima Ternion,65,0.41,Inferno,Thin CO2,None,None,"Ag,F,Pb",3,Unknown,Unknown,"Desert-Rocky,Volcanic","Desert,Volcanic",Unknown,50.0%,No,1,0,0,0,,4,1.0000,4,1,1,-3,-3,0*,0*,"Ag,F,Pb",,,,3,0,0,0,,,,,Inferno Thin CO2,Rock Moon None,1
Proxima Ternion I-c,,ProximaTernionIc,Barren,Moon,Barren Moon,Proxima Ternion,65,0.19,Inferno,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Proxima Ternion II,,ProximaTernionII,Rock,Planet,Rock Planet,Proxima Ternion,65,0.82,Scorched,High CO2,Weak,None,U,1,Unknown,Unknown,"Desert-Rocky,Desert-Sandy",Desert,Unknown,50.0%,No,0,0,0,0,,4,0.3875,4,3,1,-3,-3,0*,0*,U,,,,1,0,0,0,,,,,Scorched High CO2,Rock Planet Weak,1
Proxima Ternion III,,ProximaTernionIII,Rock,Planet,Rock Planet,Proxima Ternion,65,1.51,Cold,High O2,Powerful,Safe,"Al,Cl,Cs,Cu,F,Fi,H2O,MA,Ni,Nu,OM,Sd,Se,SM,Tx",15,Unknown,Unknown,"Archipelago,Hills,Ocean,Polar-Ice,SavannahBarren","Hills,Ocean,Ice,Savanna",Unknown,58.3%,Yes,0,0,0,0,"Al,Se",4,0.0000,6,7,6,10,6,10*,6*,"Al,Cl,Cs,Cu,F,H2O,Ni","Fi,MA,Nu,OM,Se,Sd,SM,Tx","Nu,Tx","Fi,MA,OM,Se,Sd,SM",7,8,2,6,,,,,Cold High O2,Rock Planet Powerful,0
Proxima Ternion IV,,ProximaTernionIV,Rock,Planet,Rock Planet,Proxima Ternion,65,1.44,Frozen,High M,Powerful,Chemical,"Cl,Fe,H2O,HnCn,Li,Pu,SM,Tx,U",9,Unknown,Unknown,"Mountains,Polar-Ice,SavannahBarren,Volcanic","Mountains,Ice,Savanna,Volcanic",Unknown,58.3%,Yes,0,0,0,0,Fe,4,0.2787,5,7,3,2,0,2*,0*,"Cl,Fe,H2O,HnCn,Li,Pu,U","SM,Tx","SM,Tx",,7,2,2,0,,,,,Frozen High M,Rock Planet Powerful,0
Proxima Ternion IV-a,,ProximaTernionIVa,Barren,Moon,Barren Moon,Proxima Ternion,65,0.21,Frozen,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,Eu,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Moon None,0
Pyraas I,,PyraasI,Barren,Planet,Barren Planet,Pyraas,70,0.45,Inferno,None,Very strong,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,6,1,-4,-4,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Inferno None,Barren Planet Very strong,0
Pyraas II,,PyraasII,Rock,Planet,Rock Planet,Pyraas,70,1.13,Temperate,High M,Average,Biological,"Ah,An,Ar,Cc,Cl,Fi,H2O,Ha,Ir,MA,Me,Nu,OM,Pb,Se,SiH3Cl,SM,So,Sp,Ti,Tx,U",22,Abundant (9),Abundant (8),"Archipelago,Desert-Sandy,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Desert,Mountains,Ocean,Ice,Savanna,Wetlands",Unknown,75.0%,Yes,0,0,0,0,Se,4,0.0089,5,4,5,5,2,9,8,"Ar,Cl,H2O,Ir,Pb,SiH3Cl,Ti,U","Ah,An,Cc,Fi,Ha,Me,MA,Nu,OM,Se,So,Sp,SM,Tx","Ah,Cc,MA,Nu,OM,Se,Tx","An,Fi,Ha,Me,So,Sp,SM",8,14,7,7,0%,19,None,Yes,Temperate High M,Rock Planet Average,0
Pyraas II-a,,PyraasIIa,Barren,Moon,Barren Moon,Pyraas,70,0.11,Temperate,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,66.7%,No,0,0,0,0,Al,3,0.0089,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Temperate None,Barren Moon None,0
Pyraas III,,PyraasIII,Rock,Planet,Rock Planet,Pyraas,70,0.48,Frozen,Thin CO2,Weak,Chemical,"Cl,Co,Cs,H2O,Ni,SiH3Cl,U,V",8,None,None,"Hills,Mountains,Polar-Ice,SavannahBarren","Desert,Hills,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,,4,0.2787,4,3,3,0,-1,0,0,"Cl,Co,Cs,H2O,Ni,SiH3Cl,U,V",,,,8,0,0,0,0%,-52,"Ambient Cold, Solar Radiation",Yes,Frozen Thin CO2,Rock Planet Weak,0
Pyraas III-a,,PyraasIIIa,Barren,Moon,Barren Moon,Pyraas,70,0.12,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Moon None,0
Pyraas III-b,,PyraasIIIb,Barren,Moon,Barren Moon,Pyraas,70,0.11,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
Pyraas IV,,PyraasIV,Rock,Planet,Rock Planet,Pyraas,70,1.40,Frozen,High N2,Average,Chemical,"Cl,Fe,H2O,HnCn,Ni,Pt,SiH3Cl,U",8,None,None,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren,Tablelands","Desert,Mountains,Ice,Plateau",Unknown,66.7%,Yes,0,0,0,0,Fe,4,0.2787,2,4,3,-1,-2,0,0,"Cl,Fe,H2O,HnCn,Ni,Pt,SiH3Cl,U",,,,8,0,0,0,0%,-107,Ambient Cold,Yes,Frozen High N2,Rock Planet Average,0
Pyraas V,,PyraasV,Rock,Planet,Rock Planet,Pyraas,70,1.18,Frozen,Std N2,Powerful,Chemical,"Cu,H2O,Pb",3,None,None,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Plateau",Unknown,66.7%,Yes,0,0,0,0,,4,0.2787,2,7,3,0,-1,0,0,"Cu,H2O,Pb",,,,3,0,0,0,0%,-136,Ambient Cold,Yes,Frozen Std N2,Rock Planet Powerful,0
Pyraas VI,,PyraasVI,Ice giant,Planet,Ice giant Planet,Pyraas,70,1.90,Deep freeze,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,4,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Average,0
Pyraas VI-a,,PyraasVIa,Rock,Moon,Rock Moon,Pyraas,70,0.40,Deep freeze,Thin CO2,None,None,"Cl,Fe,H2O,HnCn,Ir,Li,Ni,U",8,None,None,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Plateau",Unknown,58.3%,No,1,0,0,0,Fe,4,0.5022,4,1,1,-3,-3,0,0,"Cl,Fe,H2O,HnCn,Ir,Li,Ni,U",,,,8,0,0,0,0%,-199,Ambient Cold,No,Deep freeze Thin CO2,Rock Moon None,0
Pyraas VI-b,,PyraasVIb,Ice,Moon,Ice Moon,Pyraas,70,0.37,Deep freeze,None,None,Chemical,"Co,H2O,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Co,H2O,Ni",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Pyraas VI-c,,PyraasVIc,Ice,Moon,Ice Moon,Pyraas,70,0.12,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Pyraas VI-d,,PyraasVId,Ice,Moon,Ice Moon,Pyraas,70,0.10,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Pyraas VII,,PyraasVII,Rock,Planet,Rock Planet,Pyraas,70,1.20,Deep freeze,None,Weak,None,"Cu,F,Fe,H2O,HnCn,Ir,U,V",8,Unknown,Unknown,"Desert-Rocky,Mountains,Ocean,Polar-Ice","Desert,Mountains,Ocean,Ice",Unknown,50.0%,No,1,0,0,0,Fe,4,0.5022,1,3,1,-5,-4,0*,0*,"Cu,F,Fe,H2O,HnCn,Ir,U,V",,,,8,0,0,0,,,,,Deep freeze None,Rock Planet Weak,0
Pyraas VII-a,,PyraasVIIa,Ice,Moon,Ice Moon,Pyraas,70,0.03,Deep freeze,None,None,Chemical,"Cu,F,H2O,IL",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O,IL",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
